key,source,target
DC/Text_DesignData_CharacterSkin_CharacterSkin_FlavorText_FrostSkeleton,"The chill of the grave personified, within these frozen bones, this skeletal warrior bears the essence of an eternal winter.","Холод могили уособлює, в цих застиглих кістках, цей скелетний воїн несе в собі сутність вічної зими."
DC/Text_DesignData_CharacterSkin_CharacterSkin_FlavorText_FrostWalker,"From the icy depths of death, this undead monstrosity trudges forth, spreading the cold touch of doom.","З крижаних глибин смерті ця нежива потвора пробирається вперед, поширюючи холодний дотик приреченості."
DC/Text_DesignData_CharacterSkin_CharacterSkin_FlavorText_LizardmenBlue,"Sworn keepers of marshland secrets, these scaly beings are equally renowned for their intellectual pursuits and their skill in battle. ","Закляті хранителі болотяних таємниць, ці лускаті істоти однаково відомі своїми інтелектуальними пошуками та вправністю в бою. "
DC/Text_DesignData_CharacterSkin_CharacterSkin_FlavorText_LizardmenGreen,"Guardians of the swamp's hidden wisdom, as skilled in scholarly arts as they are in the lethal dance of combat.","Охоронці прихованої мудрості болота, настільки ж вправні в науковому мистецтві, як і в смертельному танці бою."
DC/Text_DesignData_CharacterSkin_CharacterSkin_FlavorText_LizardmenRed,Natural hunters wise in the ways of the jungle with a native skill for survival. Their thick scales provide basic innate protection.,"Природжені мисливці, досвідчені в джунглях, що володіють природженими навичками виживання. Їх товста луска забезпечує базовий вроджений захист."
DC/Text_DesignData_CharacterSkin_CharacterSkin_FlavorText_LycanBlack,"With fangs bared and claws poised, this feral beast is said to have been spawned from a curse bestowed by one of the four major demon lords.","Кажуть, що цей дикий звір з вишкіреними іклами та гострими кігтями з'явився на світ внаслідок прокляття, накладеного одним із чотирьох головних володарів демонів."
DC/Text_DesignData_CharacterSkin_CharacterSkin_FlavorText_LycanBrown,This race of Lycan is said to have received their brown fur as a gift from an ancient forest demigod to help his chosen guardians blend into the woods more seamlessly.,"Кажуть, що ця раса ліканів отримала своє коричневе хутро в подарунок від древнього лісового напівбога, щоб допомогти його обраним охоронцям краще зливатися з лісом."
DC/Text_DesignData_CharacterSkin_CharacterSkin_FlavorText_LycanGray,"Summoned by a powerful entity to torment a king in his dreams. However, their malevolent influence grew too strong, transcending the boundary between nightmares and reality, ultimately claiming the king's life.","Викликані могутньою сутністю, щоб мучити короля у його снах. Однак їхній зловмисний вплив став надто сильним, перейшовши межу між кошмарами та реальністю, і врешті-решт забравши життя короля."
DC/Text_DesignData_CharacterSkin_CharacterSkin_FlavorText_LycanWhite,"With fur as luminescent as moonlit clouds, these creatures are thought to bear the blessing of the lunar goddess herself. Their existence signifies that of a higher purpose, hopefully one that doesn't end in bloodshed.","Вважається, що ці істоти з хутром, яке світиться, як місячні хмари, несуть благословення самої богині Місяця. Їхнє існування означає наявність вищої мети, яка, сподіваємось, не закінчиться кровопролиттям."
DC/Text_DesignData_CharacterSkin_CharacterSkin_FlavorText_NightmareSkeleton,"Summoned from the depths of the darkest dreams, the Nightmare Skeleton strides forth as a living incarnation of terror, bridging the gap between the nightmarish and our reality.","Викликаний з глибин найтемніших снів, Кошмарний Скелет крокує вперед як живе втілення жаху, долаючи прірву між кошмарним і нашою реальністю."
DC/Text_DesignData_CharacterSkin_CharacterSkin_FlavorText_OrcMan,"Hailing from the rugged Orc tribes from afar, where survival of the fittest is the only law.","Він походить із суворих племен орків, де виживає найсильніший, і де єдиним законом є виживання."
DC/Text_DesignData_CharacterSkin_CharacterSkin_FlavorText_OrcWoman,"Molded by the harsh conditions of the Orcs' homeland, they embody resilience and pure strength.","Сформовані суворими умовами батьківщини орків, вони втілюють стійкість і чисту силу."
DC/Text_DesignData_CharacterSkin_CharacterSkin_FlavorText_Skeleton,"A walking pile of bones, terrifying to behold.","Ходяча купа кісток, на яку страшно дивитися."
DC/Text_DesignData_Emote_Emote_FlavorText_BlahBlah,"Show that you have heard enough talking, it might be time to start fighting.","Покажіть, що ви наслухалися розмов, можливо, настав час почати бій."
DC/Text_DesignData_Emote_Emote_FlavorText_Bow,"A humble and respectful posture, honoring those before you.","Смиренна і шаноблива постава, повага до тих, хто стоїть перед вами."
DC/Text_DesignData_Emote_Emote_FlavorText_Bow2,"A humble and respectful posture, honoring those before you.","Смиренна і шаноблива постава, повага до тих, хто стоїть перед тобою."
DC/Text_DesignData_Emote_Emote_FlavorText_BringIt,"Taunt your enemies in a challenging signal, beckoning your foe to test their might against yours.","Подразни своїх ворогів викличним сигналом, запрошуючи їх випробувати свою силу проти твоєї."
DC/Text_DesignData_Emote_Emote_FlavorText_CoinTossing,Heads or tails? Flip the coin and let fate decide your fortune.,Орел чи решка? Підкиньте монету і дозвольте долі вирішити вашу долю.
DC/Text_DesignData_Emote_Emote_FlavorText_Curtsy,An elegant way to greet or bid farewell.,Елегантний спосіб привітатися або попрощатися.
DC/Text_DesignData_Emote_Emote_FlavorText_CutThroat,"Silently issuing a warning, making your intentions clear.","Мовчки видає попередження, роблячи ваші наміри зрозумілими."
DC/Text_DesignData_Emote_Emote_FlavorText_FingerGuns,"Aim your digits like dual pistols, playfully sending imaginary bullets their way.","Спрямуйте свої цифри, як два пістолети, грайливо посилаючи уявні кулі в їхній бік."
DC/Text_DesignData_Emote_Emote_FlavorText_FranticApplause,"To express congratulations, applaud enthusiastically. Sometimes, it can also be an expression of madness.","Щоб висловити привітання, захоплено аплодуйте. Іноді це також може бути вираженням божевілля."
DC/Text_DesignData_Emote_Emote_FlavorText_HandHeart,"Express affection with a heart-shaped gesture, radiating love and positive energy.","Виражати прихильність жестом у формі серця, що випромінює любов і позитивну енергію."
DC/Text_DesignData_Emote_Emote_FlavorText_HoldTheLine,A symbol of dedication displayed by true line holders who never lost their faith.,"Символ відданості, яку демонструють справжні власники лінії, що ніколи не втрачали своєї віри."
DC/Text_DesignData_Emote_Emote_FlavorText_Horn,"Summon the echoes of old as you lift the ancient horn to your lips, its deep and resonant call stirring the air with the power of long-forgotten legends.","Викликайте відлуння давнини, підносячи до вуст старовинний ріг, глибокий і резонансний звук якого розбурхує повітря силою давно забутих легенд."
DC/Text_DesignData_Emote_Emote_FlavorText_IDontKnow,An expressive shrug conveying your lack of knowledge or interest.,"Виразний потиск плечима, що виражає вашу необізнаність чи зацікавленість."
DC/Text_DesignData_Emote_Emote_FlavorText_KickingGround,Take your anger out on the ground. It'll hurt your feet though...,Виплесніть свій гнів на землю. Хоча це буде боляче для твоїх ніг...
DC/Text_DesignData_Emote_Emote_FlavorText_KnightlyKneel,I am loyal to you.,Я відданий тобі.
DC/Text_DesignData_Emote_Emote_FlavorText_Loser,Wordlessly articulate another's defeat or inadequacy.,Безсловесно артикулювати поразку чи неадекватність іншого.
DC/Text_DesignData_Emote_Emote_FlavorText_MoneyMoneyMoney,Scatter gold as if all the wealth in the world belongs to you.,"Розкидатися золотом так, ніби все багатство світу належить тобі."
DC/Text_DesignData_Emote_Emote_FlavorText_Noob,"Openly display the sign for 'noob', signaling that someone is on a visible learning curve.","Відкрито демонструвати знак ""новачок"", сигналізуючи, що хтось перебуває на видимій кривій навчання."
DC/Text_DesignData_Emote_Emote_FlavorText_Pointing,"Point with purpose, marking your target for all to see.","Цілеспрямовано показуйте пальцем, позначаючи свою мету, щоб усі її бачили."
DC/Text_DesignData_Emote_Emote_FlavorText_PourinOneOut,"Let your drink seep into the ground, symbolizing a silent tribute to those who are no longer with us.","Нехай ваш напій просочиться в землю, символізуючи мовчазну данину тим, кого вже немає з нами."
DC/Text_DesignData_Emote_Emote_FlavorText_PowerFlex,"Having well-developed chest and front deltoids, along with well-defined trapezius muscles, at the very least provides a strong sense of confidence.","Наявність добре розвинених грудних і передніх дельтовидних м'язів, а також чітко окреслених трапецієподібних м'язів, як мінімум, забезпечує сильне почуття впевненості."
DC/Text_DesignData_Emote_Emote_FlavorText_PrayingHands,Seek solace in a moment of prayer.,Шукайте розради в хвилині молитви.
DC/Text_DesignData_Emote_Emote_FlavorText_RPS,"Rock, Paper, Scissors, Shoot!","Камінь, папір, ножиці, стрілялки!"
DC/Text_DesignData_Emote_Emote_FlavorText_Salute,Show a gesture of mild respect to others.,Покажіть жест легкої поваги до інших.
DC/Text_DesignData_Emote_Emote_FlavorText_Shh,"Place your index finger against your mouth, signaling an unspoken request for silence.","Прикладіть вказівний палець до рота, сигналізуючи про невисловлене прохання до тиші."
DC/Text_DesignData_Emote_Emote_FlavorText_Surrender,Raise both hands to show surrender.,"Підніміть обидві руки, щоб показати капітуляцію."
DC/Text_DesignData_Emote_Emote_FlavorText_TheCarole,"An enchanting dance, captivating all who witness your elegant moves.","Феєричний танець, що зачаровує всіх, хто стає свідком ваших елегантних рухів."
DC/Text_DesignData_Emote_Emote_FlavorText_ThumbsDown,Convey disapproval or dissatisfaction with a simple downward gesture of your thumb.,Висловіть несхвалення або незадоволення простим жестом великого пальця вниз.
DC/Text_DesignData_Emote_Emote_FlavorText_ThumbsUp,A simple way to show your approval or agreement.,Простий спосіб показати своє схвалення або згоду.
DC/Text_DesignData_Emote_Emote_FlavorText_YouCrazy,"Circle your finger around your temple, signaling a silent but vivid declaration of another's irrationality.","Обведіть пальцем навколо скроні, сигналізуючи мовчазну, але яскраву заяву про ірраціональність іншого."
DC/Text_DesignData_ItemSkin_ItemSkin_FlavorText_CampfireKitIceFlame,"Casting a captivating display of frost and fire, its glacial blue flames flicker with an otherworldly allure, transforming any campsite into a mystical sanctuary amidst the frozen wilderness.","Його льодовикове блакитне полум'я, що зачаровує морозом і вогнем, мерехтить потойбічною привабливістю, перетворюючи будь-який кемпінг на містичне святилище посеред замерзлої дикої природи."
DC/Text_DesignData_ItemSkin_ItemSkin_FlavorText_CampfireKitKettle,"A kettle perches over the flickering heat, promising a comforting brew.","Над мерехтливим вогнем стоїть чайник, обіцяючи заспокійливий напій."
DC/Text_DesignData_ItemSkin_ItemSkin_FlavorText_CampfireKitMoonlight,"Its flames dance with hues of blue, casting a mesmerizing glow that speaks of triumph over darkness and the promise of new horizons.","Його полум'я танцює з відтінками синього, випромінюючи заворожуюче сяйво, що говорить про перемогу над темрявою та обіцянку нових горизонтів."
DC/Text_DesignData_ItemSkin_ItemSkin_FlavorText_CampfireKitRoastedRabbit,"A succulent rabbit roasts on a spit, filling the air with a mouthwatering aroma.","Соковитий кролик смажиться на рожні, наповнюючи повітря апетитним ароматом."
DC/Text_DesignData_ItemSkin_ItemSkin_FlavorText_FroststoneTorch,"Crafted from eternal ice, its luminous radiance penetrates the deepest darkness. Within its core, an icy defiance of nature emanates, exuding an unearthly chill that murmurs ancient secrets.","Виготовлений з вічного льоду, його сяйво проникає крізь найглибшу темряву. У його серцевині - крижаний виклик природі, що випромінює неземний холод, який шепоче стародавні таємниці."
DC/Text_DesignData_ItemSkin_ItemSkin_FlavorText_FrozenBottleClarityPotion,"Its icy exterior shimmers with a celestial glow, promising a taste of the frost-kissed wonders that lie within.","Його крижана зовнішність переливається небесним сяйвом, обіцяючи смак поцілованих морозом чудес, що ховаються всередині."
DC/Text_DesignData_ItemSkin_ItemSkin_FlavorText_FrozenBottleHealingPotion,"Its icy exterior shimmers with a celestial glow, promising a taste of the frost-kissed wonders that lie within.","Його крижана зовнішність переливається небесним сяйвом, обіцяючи скуштувати вкриті памороззю чудеса, що ховаються всередині."
DC/Text_DesignData_ItemSkin_ItemSkin_FlavorText_FrozenBottleInvisibilityPotion,"Its icy exterior shimmers with a celestial glow, promising a taste of the frost-kissed wonders that lie within.","Його крижана зовнішність переливається небесним сяйвом, обіцяючи скуштувати вкриті памороззю чудеса, що ховаються всередині."
DC/Text_DesignData_ItemSkin_ItemSkin_FlavorText_FrozenBottleLuckPotion,"Its icy exterior shimmers with a celestial glow, promising a taste of the frost-kissed wonders that lie within.","Його крижана зовнішність переливається небесним сяйвом, обіцяючи скуштувати вкриті памороззю чудеса, що ховаються всередині."
DC/Text_DesignData_ItemSkin_ItemSkin_FlavorText_FrozenBottleLuckPotionGreat,"Its icy exterior shimmers with a celestial glow, promising a taste of the frost-kissed wonders that lie within.","Його крижана зовнішність переливається небесним сяйвом, обіцяючи скуштувати вкриті памороззю чудеса, що ховаються всередині."
DC/Text_DesignData_ItemSkin_ItemSkin_FlavorText_FrozenBottleMagicProtectionPotion,"Its icy exterior shimmers with a celestial glow, promising a taste of the frost-kissed wonders that lie within.","Його крижана зовнішність переливається небесним сяйвом, обіцяючи скуштувати вкриті памороззю чудеса, що ховаються всередині."
DC/Text_DesignData_ItemSkin_ItemSkin_FlavorText_FrozenBottleProtectionPotion,"Its icy exterior shimmers with a celestial glow, promising a taste of the frost-kissed wonders that lie within.","Його крижана зовнішність переливається небесним сяйвом, обіцяючи скуштувати вкриті памороззю чудеса, що ховаються всередині."
DC/Text_DesignData_ItemSkin_ItemSkin_FlavorText_FrozenBottleTrollBlood,"Its icy exterior shimmers with a celestial glow, promising a taste of the frost-kissed wonders that lie within.","Його крижана зовнішність переливається небесним сяйвом, обіцяючи скуштувати вкрите морозними поцілунками диво, що ховається всередині."
DC/Text_DesignData_ItemSkin_ItemSkin_FlavorText_FrozenTorch,"This flame is rumored to be forged from the tears of winter spirits and infused with the essence of ancient frost dragons, imbuing it with an aura both chilling and enchanting.","Подейкують, що це полум'я викуване зі сліз зимових духів і наповнене есенцією стародавніх крижаних драконів, що надає йому аури, водночас холодної та чарівної."
DC/Text_DesignData_ItemSkin_ItemSkin_FlavorText_TorchBlue,A torch emitting an ethereal blue flame.,"Смолоскип, що випромінює неземне блакитне полум'я."
DC/Text_DesignData_ItemSkin_ItemSkin_FlavorText_TorchPurple,Mystical torch of beautiful purple flame.,Містичний факел красивого фіолетового полум'я.
DC/Text_DesignData_ItemSkin_ItemSkin_FlavorText_TorchYellow,Mystical torch of beautiful yellow flame.,Містичний факел красивого жовтого полум'я.
DC/Text_DesignData_LobbyEmote_LobbyEmote_FlavorText_Ale,Victory is ours! Cheers!,Перемога за нами! Будьмо!
DC/Text_DesignData_LobbyEmote_LobbyEmote_FlavorText_CoffeeBrewing,"Treat your senses to the rich, tantalizing taste of coffee.","Насолоджуйтесь насиченим, спокусливим смаком кави."
DC/Text_DesignData_LobbyEmote_LobbyEmote_FlavorText_Defeat,"Accept your loss, gracefully bowing out of the battle.","Прийміть свою поразку, граціозно вийшовши з бою."
DC/Text_DesignData_LobbyEmote_LobbyEmote_FlavorText_ThumbsUp,Harness the universal language of approval.,Використовуйте універсальну мову схвалення.
DC/Text_DesignData_LobbyEmote_LobbyEmote_FlavorText_WeWantFood,"The hunger is real, energetically express your craving for sustenance.","Голод реальний, енергійно висловлюйте свою жагу до прожитку."
DC/Text_DesignData_PlayerCharacter_PlayerCharacter_FlavorText_Barbarian,"The Barbarian is known for his hardy nature, fiery temper, and ability to endure immense pain. His rage and reckless abandon allow him to lead the charge into battle.","Варвар відомий своїм витривалим характером, запальною вдачею і здатністю терпіти сильний біль. Його лють і безоглядна відчайдушність дозволяють йому вести загін у бій."
DC/Text_DesignData_PlayerCharacter_PlayerCharacter_FlavorText_Bard,The Bard is a weaver of moving melodies and fantastic tales. They manage to get out of the stickiest of situations using their uncanny ability to mysteriously control the mood of crowds and creatures.,"Бард - ткач зворушливих мелодій і фантастичних казок. Їм вдається виплутатися з найскрутніших ситуацій, використовуючи свою надприродну здатність таємничим чином керувати настроєм натовпу та істот."
DC/Text_DesignData_PlayerCharacter_PlayerCharacter_FlavorText_Cleric,The Cleric is a soldier of immense faith. The Cleric uses his sacred bonds to his gods to call forth the protective powers of light and to vanquish the forces of dark.,"Клірик - воїн безмежної віри. Клірик використовує свої священні зв'язки з богами, щоб закликати захисні сили світла і перемогти сили темряви."
DC/Text_DesignData_PlayerCharacter_PlayerCharacter_FlavorText_Druid,"The Druid is a spirit mage with a deep connection to nature. Able to wield the powers of the wilderness, they can even transform their bodies to mimic the powers of beasts.","Друїд - маг духу з глибоким зв'язком з природою. Здатні володіти силами дикої природи, вони навіть можуть трансформувати своє тіло, щоб імітувати силу звірів."
DC/Text_DesignData_PlayerCharacter_PlayerCharacter_FlavorText_Fighter,"The Fighter is a jack of all trades when it comes to combat. Well-versed with a multitude of weapons and armaments, the Fighter can hold his own against anyone.","Боєць - майстер на всі руки, коли справа доходить до бою. Добре обізнаний з безліччю видів зброї та озброєння, Боєць може дати відсіч будь-кому."
DC/Text_DesignData_PlayerCharacter_PlayerCharacter_FlavorText_Ranger,"The Ranger is an excellent survivalist. With a keen eye and quick hands, the Ranger tracks his enemies, sets traps and ambushes unsuspecting prey.","Рейнджер - відмінний виживальщик. Завдяки гострому оку і швидким рукам, Рейнджер вистежує своїх ворогів, розставляє пастки і влаштовує засідки на здобич, яка нічого не підозрює."
DC/Text_DesignData_PlayerCharacter_PlayerCharacter_FlavorText_Rogue,"The Rogue is a master of deception able to silently slip between the shadows to work his dastardly deeds. His dexterous hands enable him to quickly loot riches, pick locks, and disable various traps.","Розбійник - майстер обману, здатний безшумно прослизати між тінями, щоб робити свої підступні справи. Його спритні руки дозволяють йому швидко грабувати багатства, зламувати замки і виводити з ладу різні пастки."
DC/Text_DesignData_PlayerCharacter_PlayerCharacter_FlavorText_Warlock,The Warlock is a brooding manipulator of dark magic. They sacrifice their life force to call upon unknown forces of pain and evil. A worthy adversary proficient in both magic and weapons.,"Чаклун - задумливий маніпулятор темною магією. Він жертвує своєю життєвою силою, щоб закликати невідомі сили болю і зла. Гідний супротивник, що досконало володіє як магією, так і зброєю."
DC/Text_DesignData_PlayerCharacter_PlayerCharacter_FlavorText_Wizard,"The Wizard calls forth the immense powers of magic to suit his needs. Whether that means summoning a powerful fireball to cast asunder his foes or to temporarily vanishing into thin air, his incantations are a sight to behold.","Чарівник закликає величезні сили магії, щоб задовольнити свої потреби. Чи то виклик потужної вогняної кулі, щоб розтрощити своїх ворогів, чи то тимчасове розчинення в повітрі, його заклинання - це видовище, на яке варто подивитися."
DC/Text_Code_DCRewardItemWidget_FlavorText_Stash,You acquire an additional Stash,Ви купуєте додаткову заначку
DC/Text_Code_DCRewardItemWidget_FlavorText_Affinity_Format,You have gained {0} Affinity with {1}!,Ви отримали {0} спорідненості з {1}!
DC/Text_Code_DCRewardItemWidget_FlavorText_Exp,You have gained {0} Experience!,Ви отримали {0} досвіду!
DC/Text_DesignData_Emote_Emote_FlavorText_BlowKiss,"Send a tender kiss sailing through the air, a whimsical token of affection for someone special.",
DC/Text_DesignData_CharacterSkin_CharacterSkin_FlavorText_Mummy,"Garbed in ancient wrappings, the mummified form carries the whispers of a thousand years with each step. It is both a keeper of old secrets and a herald of primordial curses whispered in the shadows of ages past.",
DC/Text_DesignData_Emote_Emote_FlavorText_Salute2,"This salute honors the fallen and inspires the living, a silent testament to the bonds forged in battle.",
DC/Text_DesignData_LobbyEmote_LobbyEmote_FlavorText_DecadentDungeonCrumbleCake,"Nothing marks a special occasion quite like a cake. Beyond its layers of delicate flavors, this cake represents our collective adventures, each bite enriched with memories of camaraderie.",
DC/Text_DesignData_ItemSkin_ItemSkin_FlavorText_CampfireKitBoneKindled,Flames dance around remnants of the fallen. Some adventurers even reported that those who warm their hands here might just catch whispers from the other side.,
DC/Text_DesignData_ActionSkin_FlavorText_TelescopeRest,Text_DesignData_ActionSkin_FlavorText_TelescopeRest,
/545600854D28D27EB065B09EB41B9524,Text_DesignData_ItemSkin_ItemSkin_FlavorText_CampfireKitSeafarersFeast,
DC/Text_DesignData_Emote_Emote_FlavorText_SaltShaker,Text_DesignData_Emote_Emote_FlavorText_SaltShaker,
DC/Text_DesignData_ActionSkin_FlavorText_ElegantReclineRest,"Lounging effortlessly in a graceful pose, indulging in a well-deserved break from your adventures.",
DC/Text_DesignData_Emote_Emote_FlavorText_GoblinDance,"A dance, born from the green feet of goblins and infused with mischievous rhythm by the Kobolds, celebrates the shared culture between the two races.",
DC/Text_DesignData_ItemSkin_ItemSkin_FlavorText_GCXTorch_2024,"Hewn from the ancient Tree of Life and blessed by the Goddess of Compassion, this torch stands as a symbol of unity and purpose. It radiates a triad of colors, but only when held by those of true altruism, symbolizing the bearer’s pivotal role in fostering a future filled with light and hope.",
